location,date,vaccine,total_vaccinations
Spain,2021-01-08,Johnson&Johnson,0
Spain,2021-01-08,Moderna,0
Spain,2021-01-08,Oxford/AstraZeneca,0
Spain,2021-01-08,Pfizer/BioNTech,419518
Spain,2021-01-15,Johnson&Johnson,0
Spain,2021-01-15,Moderna,7241
Spain,2021-01-15,Oxford/AstraZeneca,0
Spain,2021-01-15,Pfizer/BioNTech,919919
Spain,2021-01-22,Johnson&Johnson,0
Spain,2021-01-22,Moderna,25650
Spain,2021-01-22,Oxford/AstraZeneca,0
Spain,2021-01-22,Pfizer/BioNTech,1242148
Spain,2021-01-29,Johnson&Johnson,0
Spain,2021-01-29,Moderna,29543
Spain,2021-01-29,Oxford/AstraZeneca,0
Spain,2021-01-29,Pfizer/BioNTech,1612954
Spain,2021-02-05,Johnson&Johnson,0
Spain,2021-02-05,Moderna,49773
Spain,2021-02-05,Oxford/AstraZeneca,0
Spain,2021-02-05,Pfizer/BioNTech,2110754
Spain,2021-02-12,Johnson&Johnson,0
Spain,2021-02-12,Moderna,98887
Spain,2021-02-12,Oxford/AstraZeneca,34822
Spain,2021-02-12,Pfizer/BioNTech,2504712
Spain,2021-02-19,Johnson&Johnson,0
Spain,2021-02-19,Moderna,138703
Spain,2021-02-19,Oxford/AstraZeneca,133255
Spain,2021-02-19,Pfizer/BioNTech,2889360
Spain,2021-02-26,Johnson&Johnson,0
Spain,2021-02-26,Moderna,152650
Spain,2021-02-26,Oxford/AstraZeneca,379507
Spain,2021-02-26,Pfizer/BioNTech,3395046
Spain,2021-03-05,Johnson&Johnson,0
Spain,2021-03-05,Moderna,199901
Spain,2021-03-05,Oxford/AstraZeneca,675473
Spain,2021-03-05,Pfizer/BioNTech,3957536
Spain,2021-03-12,Johnson&Johnson,0
Spain,2021-03-12,Moderna,257654
Spain,2021-03-12,Oxford/AstraZeneca,979181
Spain,2021-03-12,Pfizer/BioNTech,4523748
Spain,2021-03-19,Johnson&Johnson,0
Spain,2021-03-19,Moderna,344834
Spain,2021-03-19,Oxford/AstraZeneca,1016585
Spain,2021-03-19,Pfizer/BioNTech,5090836
Spain,2021-03-26,Johnson&Johnson,0
Spain,2021-03-26,Moderna,445870
Spain,2021-03-26,Oxford/AstraZeneca,1443701
Spain,2021-03-26,Pfizer/BioNTech,5787010
Spain,2021-04-02,Johnson&Johnson,0
Spain,2021-04-02,Moderna,548235
Spain,2021-04-02,Oxford/AstraZeneca,1959189
Spain,2021-04-02,Pfizer/BioNTech,6459127
Spain,2021-04-09,Johnson&Johnson,0
Spain,2021-04-09,Moderna,617712
Spain,2021-04-09,Oxford/AstraZeneca,2658495
Spain,2021-04-09,Pfizer/BioNTech,7691304
Spain,2021-04-16,Johnson&Johnson,0
Spain,2021-04-16,Moderna,791591
Spain,2021-04-16,Oxford/AstraZeneca,3193670
Spain,2021-04-16,Pfizer/BioNTech,8977819
Spain,2021-04-23,Johnson&Johnson,33940
Spain,2021-04-23,Moderna,962608
Spain,2021-04-23,Oxford/AstraZeneca,3591254
Spain,2021-04-23,Pfizer/BioNTech,10257891
Spain,2021-04-30,Johnson&Johnson,132059
Spain,2021-04-30,Moderna,1125131
Spain,2021-04-30,Oxford/AstraZeneca,3983449
Spain,2021-04-30,Pfizer/BioNTech,12027495
Spain,2021-05-07,Johnson&Johnson,192988
Spain,2021-05-07,Moderna,1337436
Spain,2021-05-07,Oxford/AstraZeneca,4619779
Spain,2021-05-07,Pfizer/BioNTech,13793490
Spain,2021-05-14,Johnson&Johnson,227399
Spain,2021-05-14,Moderna,1779937
Spain,2021-05-14,Oxford/AstraZeneca,4857084
Spain,2021-05-14,Pfizer/BioNTech,15560229
Spain,2021-05-21,Johnson&Johnson,325007
Spain,2021-05-21,Moderna,2147767
Spain,2021-05-21,Oxford/AstraZeneca,4967757
Spain,2021-05-21,Pfizer/BioNTech,17320679
Spain,2021-05-28,Johnson&Johnson,440728
Spain,2021-05-28,Moderna,2485726
Spain,2021-05-28,Oxford/AstraZeneca,5144529
Spain,2021-05-28,Pfizer/BioNTech,18957232
Spain,2021-06-04,Johnson&Johnson,627360
Spain,2021-06-04,Moderna,2753745
Spain,2021-06-04,Oxford/AstraZeneca,5516701
Spain,2021-06-04,Pfizer/BioNTech,21074221
Spain,2021-06-11,Johnson&Johnson,858327
Spain,2021-06-11,Moderna,3142663
Spain,2021-06-11,Oxford/AstraZeneca,5831728
Spain,2021-06-11,Pfizer/BioNTech,23490485
Spain,2021-06-18,Johnson&Johnson,1054867
Spain,2021-06-18,Moderna,3496180
Spain,2021-06-18,Oxford/AstraZeneca,6198674
Spain,2021-06-18,Pfizer/BioNTech,25818743
Spain,2021-06-25,Johnson&Johnson,1218656
Spain,2021-06-25,Moderna,3795022
Spain,2021-06-25,Oxford/AstraZeneca,6941139
Spain,2021-06-25,Pfizer/BioNTech,28287354
Spain,2021-07-02,Johnson&Johnson,1357617
Spain,2021-07-02,Moderna,4071413
Spain,2021-07-02,Oxford/AstraZeneca,7739495
Spain,2021-07-02,Pfizer/BioNTech,31041784
Spain,2021-07-09,Johnson&Johnson,1492203
Spain,2021-07-09,Moderna,4449269
Spain,2021-07-09,Oxford/AstraZeneca,8575335
Spain,2021-07-09,Pfizer/BioNTech,33393577
Spain,2021-07-16,Johnson&Johnson,1632926
Spain,2021-07-16,Moderna,4995566
Spain,2021-07-16,Oxford/AstraZeneca,9115382
Spain,2021-07-16,Pfizer/BioNTech,35412108
Spain,2021-07-23,Johnson&Johnson,1768255
Spain,2021-07-23,Moderna,5500767
Spain,2021-07-23,Oxford/AstraZeneca,9419156
Spain,2021-07-23,Pfizer/BioNTech,37349461
Spain,2021-07-30,Johnson&Johnson,1823662
Spain,2021-07-30,Moderna,5980704
Spain,2021-07-30,Oxford/AstraZeneca,9585408
Spain,2021-07-30,Pfizer/BioNTech,39026497
Spain,2021-08-06,Johnson&Johnson,1865803
Spain,2021-08-06,Moderna,6419839
Spain,2021-08-06,Oxford/AstraZeneca,9651764
Spain,2021-08-06,Pfizer/BioNTech,40443877
Spain,2021-08-13,Johnson&Johnson,1894999
Spain,2021-08-13,Moderna,6842398
Spain,2021-08-13,Oxford/AstraZeneca,9685411
Spain,2021-08-13,Pfizer/BioNTech,41664267
