location,date,vaccine,total_vaccinations
Slovenia,2021-01-01,Pfizer/BioNTech,6165
Slovenia,2021-01-08,Pfizer/BioNTech,30321
Slovenia,2021-01-15,Moderna,1
Slovenia,2021-01-15,Pfizer/BioNTech,49332
Slovenia,2021-01-22,Moderna,511
Slovenia,2021-01-22,Pfizer/BioNTech,63902
Slovenia,2021-01-29,Pfizer/BioNTech,81721
Slovenia,2021-02-05,Moderna,930
Slovenia,2021-02-05,Pfizer/BioNTech,100973
Slovenia,2021-02-12,Moderna,3783
Slovenia,2021-02-12,Oxford/AstraZeneca,2121
Slovenia,2021-02-12,Pfizer/BioNTech,117974
Slovenia,2021-02-19,Moderna,4510
Slovenia,2021-02-19,Oxford/AstraZeneca,6056
Slovenia,2021-02-19,Pfizer/BioNTech,138276
Slovenia,2021-02-26,Moderna,4825
Slovenia,2021-02-26,Oxford/AstraZeneca,13719
Slovenia,2021-02-26,Pfizer/BioNTech,158841
Slovenia,2021-03-05,Moderna,9006
Slovenia,2021-03-05,Oxford/AstraZeneca,24350
Slovenia,2021-03-05,Pfizer/BioNTech,178221
Slovenia,2021-03-12,Moderna,11869
Slovenia,2021-03-12,Oxford/AstraZeneca,51924
Slovenia,2021-03-12,Pfizer/BioNTech,199569
Slovenia,2021-03-19,Moderna,17755
Slovenia,2021-03-19,Oxford/AstraZeneca,55189
Slovenia,2021-03-19,Pfizer/BioNTech,220953
Slovenia,2021-03-26,Moderna,20737
Slovenia,2021-03-26,Oxford/AstraZeneca,77276
Slovenia,2021-03-26,Pfizer/BioNTech,250015
Slovenia,2021-04-02,Moderna,38601
Slovenia,2021-04-02,Oxford/AstraZeneca,89399
Slovenia,2021-04-02,Pfizer/BioNTech,279845
Slovenia,2021-04-09,Moderna,41721
Slovenia,2021-04-09,Oxford/AstraZeneca,100805
Slovenia,2021-04-09,Pfizer/BioNTech,320542
Slovenia,2021-04-16,Moderna,52900
Slovenia,2021-04-16,Oxford/AstraZeneca,106500
Slovenia,2021-04-16,Pfizer/BioNTech,361818
Slovenia,2021-04-23,Moderna,59509
Slovenia,2021-04-23,Oxford/AstraZeneca,125612
Slovenia,2021-04-23,Pfizer/BioNTech,402795
Slovenia,2021-04-30,Johnson&Johnson,70
Slovenia,2021-04-30,Moderna,68949
Slovenia,2021-04-30,Oxford/AstraZeneca,129101
Slovenia,2021-04-30,Pfizer/BioNTech,449375
Slovenia,2021-05-07,Johnson&Johnson,1597
Slovenia,2021-05-07,Moderna,78236
Slovenia,2021-05-07,Oxford/AstraZeneca,140070
Slovenia,2021-05-07,Pfizer/BioNTech,523702
Slovenia,2021-05-14,Johnson&Johnson,9710
Slovenia,2021-05-14,Moderna,86323
Slovenia,2021-05-14,Oxford/AstraZeneca,160704
Slovenia,2021-05-14,Pfizer/BioNTech,582994
Slovenia,2021-05-21,Johnson&Johnson,15663
Slovenia,2021-05-21,Moderna,105406
Slovenia,2021-05-21,Oxford/AstraZeneca,189507
Slovenia,2021-05-21,Pfizer/BioNTech,639477
Slovenia,2021-05-28,Johnson&Johnson,20410
Slovenia,2021-05-28,Moderna,116025
Slovenia,2021-05-28,Oxford/AstraZeneca,213315
Slovenia,2021-05-28,Pfizer/BioNTech,696670
Slovenia,2021-06-04,Johnson&Johnson,31300
Slovenia,2021-06-04,Moderna,123455
Slovenia,2021-06-04,Oxford/AstraZeneca,240350
Slovenia,2021-06-04,Pfizer/BioNTech,778994
Slovenia,2021-06-11,Johnson&Johnson,36168
Slovenia,2021-06-11,Moderna,130760
Slovenia,2021-06-11,Oxford/AstraZeneca,263212
Slovenia,2021-06-11,Pfizer/BioNTech,853330
Slovenia,2021-06-18,Johnson&Johnson,41220
Slovenia,2021-06-18,Moderna,144904
Slovenia,2021-06-18,Oxford/AstraZeneca,276682
Slovenia,2021-06-18,Pfizer/BioNTech,885993
Slovenia,2021-06-25,Johnson&Johnson,44171
Slovenia,2021-06-25,Moderna,155012
Slovenia,2021-06-25,Oxford/AstraZeneca,285146
Slovenia,2021-06-25,Pfizer/BioNTech,924866
Slovenia,2021-07-02,Johnson&Johnson,47190
Slovenia,2021-07-02,Moderna,161560
Slovenia,2021-07-02,Oxford/AstraZeneca,295972
Slovenia,2021-07-02,Pfizer/BioNTech,966476
Slovenia,2021-07-09,Johnson&Johnson,51843
Slovenia,2021-07-09,Moderna,167950
Slovenia,2021-07-09,Oxford/AstraZeneca,303330
Slovenia,2021-07-09,Pfizer/BioNTech,997650
Slovenia,2021-07-16,Johnson&Johnson,58436
Slovenia,2021-07-16,Moderna,172078
Slovenia,2021-07-16,Oxford/AstraZeneca,308048
Slovenia,2021-07-16,Pfizer/BioNTech,1023687
Slovenia,2021-07-23,Johnson&Johnson,65377
Slovenia,2021-07-23,Moderna,173931
Slovenia,2021-07-23,Oxford/AstraZeneca,311105
Slovenia,2021-07-23,Pfizer/BioNTech,1047466
Slovenia,2021-07-30,Johnson&Johnson,71346
Slovenia,2021-07-30,Moderna,175466
Slovenia,2021-07-30,Oxford/AstraZeneca,313668
Slovenia,2021-07-30,Pfizer/BioNTech,1072147
Slovenia,2021-08-06,Johnson&Johnson,75466
Slovenia,2021-08-06,Moderna,177039
Slovenia,2021-08-06,Oxford/AstraZeneca,315180
Slovenia,2021-08-06,Pfizer/BioNTech,1096656
Slovenia,2021-08-13,Johnson&Johnson,78842
Slovenia,2021-08-13,Moderna,178172
Slovenia,2021-08-13,Oxford/AstraZeneca,316024
Slovenia,2021-08-13,Pfizer/BioNTech,1118770
