location,date,vaccine,total_vaccinations
Netherlands,2021-01-01,Johnson&Johnson,0
Netherlands,2021-01-01,Moderna,0
Netherlands,2021-01-01,Oxford/AstraZeneca,0
Netherlands,2021-01-01,Pfizer/BioNTech,0
Netherlands,2021-01-08,Johnson&Johnson,0
Netherlands,2021-01-08,Moderna,0
Netherlands,2021-01-08,Oxford/AstraZeneca,0
Netherlands,2021-01-08,Pfizer/BioNTech,33810
Netherlands,2021-01-15,Johnson&Johnson,0
Netherlands,2021-01-15,Moderna,0
Netherlands,2021-01-15,Oxford/AstraZeneca,0
Netherlands,2021-01-15,Pfizer/BioNTech,77676
Netherlands,2021-01-22,Johnson&Johnson,0
Netherlands,2021-01-22,Moderna,2572
Netherlands,2021-01-22,Oxford/AstraZeneca,0
Netherlands,2021-01-22,Pfizer/BioNTech,164858
Netherlands,2021-01-29,Johnson&Johnson,0
Netherlands,2021-01-29,Moderna,8883
Netherlands,2021-01-29,Oxford/AstraZeneca,0
Netherlands,2021-01-29,Pfizer/BioNTech,344326
Netherlands,2021-02-05,Johnson&Johnson,0
Netherlands,2021-02-05,Moderna,14873
Netherlands,2021-02-05,Oxford/AstraZeneca,0
Netherlands,2021-02-05,Pfizer/BioNTech,558916
Netherlands,2021-02-12,Johnson&Johnson,0
Netherlands,2021-02-12,Moderna,21226
Netherlands,2021-02-12,Oxford/AstraZeneca,537
Netherlands,2021-02-12,Pfizer/BioNTech,769839
Netherlands,2021-02-19,Johnson&Johnson,0
Netherlands,2021-02-19,Moderna,37220
Netherlands,2021-02-19,Oxford/AstraZeneca,70122
Netherlands,2021-02-19,Pfizer/BioNTech,936099
Netherlands,2021-02-26,Johnson&Johnson,0
Netherlands,2021-02-26,Moderna,56588
Netherlands,2021-02-26,Oxford/AstraZeneca,183686
Netherlands,2021-02-26,Pfizer/BioNTech,1149057
Netherlands,2021-03-05,Johnson&Johnson,0
Netherlands,2021-03-05,Moderna,75073
Netherlands,2021-03-05,Oxford/AstraZeneca,259534
Netherlands,2021-03-05,Pfizer/BioNTech,1349884
Netherlands,2021-03-12,Johnson&Johnson,0
Netherlands,2021-03-12,Moderna,93971
Netherlands,2021-03-12,Oxford/AstraZeneca,361216
Netherlands,2021-03-12,Pfizer/BioNTech,1516135
Netherlands,2021-03-19,Johnson&Johnson,0
Netherlands,2021-03-19,Moderna,114009
Netherlands,2021-03-19,Oxford/AstraZeneca,361216
Netherlands,2021-03-19,Pfizer/BioNTech,1711180
Netherlands,2021-03-26,Johnson&Johnson,0
Netherlands,2021-03-26,Moderna,154731
Netherlands,2021-03-26,Oxford/AstraZeneca,458050
Netherlands,2021-03-26,Pfizer/BioNTech,1873928
Netherlands,2021-04-02,Johnson&Johnson,0
Netherlands,2021-04-02,Moderna,196137
Netherlands,2021-04-02,Oxford/AstraZeneca,579201
Netherlands,2021-04-02,Pfizer/BioNTech,2163813
Netherlands,2021-04-09,Johnson&Johnson,0
Netherlands,2021-04-09,Moderna,230346
Netherlands,2021-04-09,Oxford/AstraZeneca,848802
Netherlands,2021-04-09,Pfizer/BioNTech,2504969
Netherlands,2021-04-16,Johnson&Johnson,0
Netherlands,2021-04-16,Moderna,261753
Netherlands,2021-04-16,Oxford/AstraZeneca,1160905
Netherlands,2021-04-16,Pfizer/BioNTech,2971103
Netherlands,2021-04-23,Johnson&Johnson,8887
Netherlands,2021-04-23,Moderna,295998
Netherlands,2021-04-23,Oxford/AstraZeneca,1267780
Netherlands,2021-04-23,Pfizer/BioNTech,3478146
Netherlands,2021-04-30,Johnson&Johnson,48510
Netherlands,2021-04-30,Moderna,325564
Netherlands,2021-04-30,Oxford/AstraZeneca,1356827
Netherlands,2021-04-30,Pfizer/BioNTech,4009687
Netherlands,2021-05-07,Johnson&Johnson,95476
Netherlands,2021-05-07,Moderna,374406
Netherlands,2021-05-07,Oxford/AstraZeneca,1503176
Netherlands,2021-05-07,Pfizer/BioNTech,4616010
Netherlands,2021-05-14,Johnson&Johnson,124397
Netherlands,2021-05-14,Moderna,452148
Netherlands,2021-05-14,Oxford/AstraZeneca,1693430
Netherlands,2021-05-14,Pfizer/BioNTech,5334587
Netherlands,2021-05-21,Johnson&Johnson,142120
Netherlands,2021-05-21,Moderna,537211
Netherlands,2021-05-21,Oxford/AstraZeneca,1842068
Netherlands,2021-05-21,Pfizer/BioNTech,6123840
Netherlands,2021-05-28,Johnson&Johnson,239353
Netherlands,2021-05-28,Moderna,642001
Netherlands,2021-05-28,Oxford/AstraZeneca,1958043
Netherlands,2021-05-28,Pfizer/BioNTech,6822209
Netherlands,2021-06-04,Johnson&Johnson,387466
Netherlands,2021-06-04,Moderna,786250
Netherlands,2021-06-04,Oxford/AstraZeneca,2094150
Netherlands,2021-06-04,Pfizer/BioNTech,7585653
Netherlands,2021-06-11,Johnson&Johnson,436152
Netherlands,2021-06-11,Moderna,951654
Netherlands,2021-06-11,Oxford/AstraZeneca,2308270
Netherlands,2021-06-11,Pfizer/BioNTech,8837658
Netherlands,2021-06-18,Johnson&Johnson,456225
Netherlands,2021-06-18,Moderna,1083906
Netherlands,2021-06-18,Oxford/AstraZeneca,2483771
Netherlands,2021-06-18,Pfizer/BioNTech,9943404
Netherlands,2021-06-25,Johnson&Johnson,538955
Netherlands,2021-06-25,Moderna,1196352
Netherlands,2021-06-25,Oxford/AstraZeneca,2645292
