location,date,vaccine,total_vaccinations
Austria,2021-01-08,Johnson&Johnson,0
Austria,2021-01-08,Moderna,0
Austria,2021-01-08,Oxford/AstraZeneca,0
Austria,2021-01-08,Pfizer/BioNTech,30964
Austria,2021-01-15,Johnson&Johnson,0
Austria,2021-01-15,Moderna,88
Austria,2021-01-15,Oxford/AstraZeneca,0
Austria,2021-01-15,Pfizer/BioNTech,115523
Austria,2021-01-22,Johnson&Johnson,0
Austria,2021-01-22,Moderna,300
Austria,2021-01-22,Oxford/AstraZeneca,0
Austria,2021-01-22,Pfizer/BioNTech,212836
Austria,2021-01-29,Johnson&Johnson,0
Austria,2021-01-29,Moderna,4173
Austria,2021-01-29,Oxford/AstraZeneca,0
Austria,2021-01-29,Pfizer/BioNTech,257463
Austria,2021-02-05,Johnson&Johnson,0
Austria,2021-02-05,Moderna,5857
Austria,2021-02-05,Oxford/AstraZeneca,2
Austria,2021-02-05,Pfizer/BioNTech,352798
Austria,2021-02-12,Johnson&Johnson,0
Austria,2021-02-12,Moderna,9926
Austria,2021-02-12,Oxford/AstraZeneca,10768
Austria,2021-02-12,Pfizer/BioNTech,453944
Austria,2021-02-19,Johnson&Johnson,0
Austria,2021-02-19,Moderna,14043
Austria,2021-02-19,Oxford/AstraZeneca,43479
Austria,2021-02-19,Pfizer/BioNTech,519469
Austria,2021-02-26,Johnson&Johnson,0
Austria,2021-02-26,Moderna,22328
Austria,2021-02-26,Oxford/AstraZeneca,101180
Austria,2021-02-26,Pfizer/BioNTech,580465
Austria,2021-03-05,Johnson&Johnson,0
Austria,2021-03-05,Moderna,31590
Austria,2021-03-05,Oxford/AstraZeneca,155890
Austria,2021-03-05,Pfizer/BioNTech,684584
Austria,2021-03-12,Johnson&Johnson,0
Austria,2021-03-12,Moderna,46897
Austria,2021-03-12,Oxford/AstraZeneca,234208
Austria,2021-03-12,Pfizer/BioNTech,846958
Austria,2021-03-19,Johnson&Johnson,14
Austria,2021-03-19,Moderna,78601
Austria,2021-03-19,Oxford/AstraZeneca,307272
Austria,2021-03-19,Pfizer/BioNTech,979059
Austria,2021-03-26,Johnson&Johnson,25
Austria,2021-03-26,Moderna,103925
Austria,2021-03-26,Oxford/AstraZeneca,382291
Austria,2021-03-26,Pfizer/BioNTech,1124586
Austria,2021-04-02,Johnson&Johnson,39
Austria,2021-04-02,Moderna,140142
Austria,2021-04-02,Oxford/AstraZeneca,420732
Austria,2021-04-02,Pfizer/BioNTech,1271994
Austria,2021-04-09,Johnson&Johnson,68
Austria,2021-04-09,Moderna,179514
Austria,2021-04-09,Oxford/AstraZeneca,510920
Austria,2021-04-09,Pfizer/BioNTech,1492229
Austria,2021-04-16,Johnson&Johnson,71
Austria,2021-04-16,Moderna,221806
Austria,2021-04-16,Oxford/AstraZeneca,606581
Austria,2021-04-16,Pfizer/BioNTech,1724763
Austria,2021-04-23,Johnson&Johnson,75
Austria,2021-04-23,Moderna,258979
Austria,2021-04-23,Oxford/AstraZeneca,655305
Austria,2021-04-23,Pfizer/BioNTech,1987109
Austria,2021-04-30,Johnson&Johnson,328
Austria,2021-04-30,Moderna,297773
Austria,2021-04-30,Oxford/AstraZeneca,697512
Austria,2021-04-30,Pfizer/BioNTech,2259359
Austria,2021-05-07,Johnson&Johnson,6427
Austria,2021-05-07,Moderna,346765
Austria,2021-05-07,Oxford/AstraZeneca,760085
Austria,2021-05-07,Pfizer/BioNTech,2588250
Austria,2021-05-14,Johnson&Johnson,13362
Austria,2021-05-14,Moderna,396370
Austria,2021-05-14,Oxford/AstraZeneca,823874
Austria,2021-05-14,Pfizer/BioNTech,2886260
Austria,2021-05-21,Johnson&Johnson,25573
Austria,2021-05-21,Moderna,463955
Austria,2021-05-21,Oxford/AstraZeneca,901048
Austria,2021-05-21,Pfizer/BioNTech,3262105
Austria,2021-05-28,Johnson&Johnson,37672
Austria,2021-05-28,Moderna,517198
Austria,2021-05-28,Oxford/AstraZeneca,983410
Austria,2021-05-28,Pfizer/BioNTech,3595316
Austria,2021-06-04,Johnson&Johnson,57179
Austria,2021-06-04,Moderna,572115
Austria,2021-06-04,Oxford/AstraZeneca,1051477
Austria,2021-06-04,Pfizer/BioNTech,4017749
Austria,2021-06-11,Johnson&Johnson,78592
Austria,2021-06-11,Moderna,634328
Austria,2021-06-11,Oxford/AstraZeneca,1146139
Austria,2021-06-11,Pfizer/BioNTech,4453120
Austria,2021-06-18,Johnson&Johnson,93282
Austria,2021-06-18,Moderna,683401
Austria,2021-06-18,Oxford/AstraZeneca,1198021
Austria,2021-06-18,Pfizer/BioNTech,4903892
Austria,2021-06-25,Johnson&Johnson,101698
Austria,2021-06-25,Moderna,738599
Austria,2021-06-25,Oxford/AstraZeneca,1271199
Austria,2021-06-25,Pfizer/BioNTech,5344203
Austria,2021-07-02,Johnson&Johnson,126728
Austria,2021-07-02,Moderna,797990
Austria,2021-07-02,Oxford/AstraZeneca,1378239
Austria,2021-07-02,Pfizer/BioNTech,5731071
Austria,2021-07-09,Johnson&Johnson,150137
Austria,2021-07-09,Moderna,847520
Austria,2021-07-09,Oxford/AstraZeneca,1444821
Austria,2021-07-09,Pfizer/BioNTech,6053408
Austria,2021-07-13,Johnson&Johnson,155608
Austria,2021-07-13,Moderna,868812
Austria,2021-07-13,Oxford/AstraZeneca,1474286
Austria,2021-07-13,Pfizer/BioNTech,6165726
